
HEADER;ID;Group;MEgA_ID;Part Reference;Value;Tolerance;Voltage;Power;PCB Footprint;Size;Manufacturer;Assembled;Dry
"R20";"PamÏù";"50500";"100K";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R6";"Proud I1";"50529";"100R";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R12";"Proud I2";"50529";"100R";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R18";"Proud I3";"50529";"100R";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R22";"MÏniË +5V/-5V";"50558";"10K";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R1";"Proud I1";"50559";"1K0";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R5";"Proud I1";"50559";"1K0";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R7";"Proud I2";"50559";"1K0";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R11";"Proud I2";"50559";"1K0";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R13";"Proud I3";"50559";"1K0";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R17";"Proud I3";"50559";"1K0";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R23";"MÏniË +5V/-5V";"50559";"1K0";"1%";"75V";"0.0625W";"Z0603";"0603";"";"Automat";"";;
"R3";"Proud I1";"50678";"*0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Ne";"";;
"R9";"Proud I2";"50678";"*0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Ne";"";;
"R15";"Proud I3";"50678";"*0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Ne";"";;
"R19";"Proud I1";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R21";"MÏniË +5V/-5V";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R24";"";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R25";"";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R26";"Proud I1";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R27";"Proud I1";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R28";"Proud I1";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R29";"Proud I1";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R30";"Proud I1";"50678";"*0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Ne";"";;
"R32";"Proud I1";"50678";"0R0";"1%";"75V";"0.0625W max. 2A";"Z0603";"0603";"";"Automat";"";;
"R31";"Proud I2";"50709";"56R";"1%";"75V";"";"Z0603";"0603";"";"Automat";"";;
"R4";"Proud I1";"50728";"5K1";"1%";"75V";"";"Z0603";"0603";"";"Automat";"";;
"R10";"Proud I2";"50728";"5K1";"1%";"75V";"";"Z0603";"0603";"";"Automat";"";;
"R16";"Proud I3";"50728";"5K1";"1%";"75V";"";"Z0603";"0603";"";"Automat";"";;
"R2";"Proud I1";"50756";"220K";"1%";"75V";"";"Z0603";"0603";"RC0603FR-07220KL";"Automat";"";;
"R8";"Proud I2";"50756";"220K";"1%";"75V";"";"Z0603";"0603";"RC0603FR-07220KL";"Automat";"";;
"R14";"Proud I3";"50756";"220K";"1%";"75V";"";"Z0603";"0603";"RC0603FR-07220KL";"Automat";"";;
"C2";"Proud I1";"51568";"*47p";"C0G";"50V";"";"Z0603";"0603";"CL10C470JB8NNNC";"Neosadit";"";;
"C3";"Proud I2";"51568";"*47p";"C0G";"50V";"";"Z0603";"0603";"CL10C470JB8NNNC";"Neosadit";"";;
"C5";"Proud I3";"51568";"*47p";"C0G";"50V";"";"Z0603";"0603";"CL10C470JB8NNNC";"Neosadit";"";;
"C20";"Proud I1";"51568";"*47p";"C0G";"50V";"";"Z0603";"0603";"CL10C470JB8NNNC";"Neosadit";"";;
"C21";"Proud I1";"51568";"*47p";"C0G";"50V";"";"Z0603";"0603";"CL10C470JB8NNNC";"Neosadit";"";;
"C22";"Proud I1";"51568";"*47p";"C0G";"50V";"";"Z0603";"0603";"CL10C470JB8NNNC";"Neosadit";"";;
"C9";"L6A - PLL";"51623";"100n";"X7R";"50V";"";"Z0603";"0603";"";"Automat";"";;
"C23";"L6A - PLL";"51623";"100n";"X7R";"50V";"";"Z0603";"0603";"";"Automat";"";;
"C1";"Proud I1";"51625";"10n";"C0G";"50V";"";"Z0603";"0603";"";"Automat";"";;
"C4";"Proud I2";"51625";"10n";"C0G";"50V";"";"Z0603";"0603";"";"Automat";"";;
"C6";"Proud I3";"51625";"10n";"C0G";"50V";"";"Z0603";"0603";"";"Automat";"";;
"C8";"L6A - PLL";"51636";"1u0";"X7R";"16V";"";"Z0603";"0603";"";"Automat";"";;
"C17";"MÏniË +5V/-5V";"51636";"1u0";"X7R";"16V";"";"Z0603";"0603";"";"Automat";"";;
"C10";"Proud I1";"51667";"33n";"X7R";"50V";"";"Z0603";"0603";"";"Automat";"";;
"C11";"Proud I1";"51667";"33n";"X7R";"50V";"";"Z0603";"0603";"";"Automat";"";;
"C15";"DC 3V3";"51667";"33n";"X7R";"50V";"";"Z0603";"0603";"";"Automat";"";;
"C16";"MÏniË +5V/-5V";"51667";"33n";"X7R";"50V";"";"Z0603";"0603";"";"Automat";"";;
